ActivitiesMembersID,ActivityID,MemberID
2001,708,2550
2002,172,2165
2003,472,2021
2004,677,2323
2005,229,2044
2006,531,2065
2007,853,2587
2008,98,2116
2009,673,2420
2010,403,2703
2011,155,2877
2012,914,2579
2013,85,2441
2014,345,2373
2015,607,2177
2016,281,2060
2017,643,2157
2018,406,2691
2019,937,2086
2020,573,2141
2021,622,2948
2022,636,2329
2023,886,2168
2024,358,2662
2025,872,2968
2026,909,2562
2027,602,2156
2028,444,2989
2029,96,2379
2030,825,2076
2031,898,2842
2032,452,2837
2033,178,2416
2034,600,2798
2035,60,2467
2036,919,2051
2037,321,2261
2038,63,2308
2039,675,2395
2040,1,2884
2041,750,2243
2042,815,2951
2043,50,2511
2044,386,2028
2045,753,2903
2046,381,2966
2047,208,2318
2048,268,2634
2049,609,2242
2050,857,2458
2051,292,2166
2052,445,2520
2053,984,2312
2054,596,2924
2055,943,2031
2056,681,2615
2057,932,2851
2058,500,2221
2059,161,2991
2060,360,2679
2061,288,2518
2062,547,2023
2063,601,2836
2064,59,2257
2065,366,2469
2066,594,2457
2067,680,2301
2068,115,2801
2069,740,2797
2070,732,2012
2071,287,2164
2072,430,2925
2073,758,2696
2074,735,2509
2075,578,2564
2076,151,2899
2077,340,2641
2078,917,2403
2079,400,2545
2080,660,2412
2081,988,2230
2082,589,2684
2083,777,2180
2084,657,2407
2085,219,2849
2086,846,2387
2087,844,2127
2088,55,2197
2089,768,2089
2090,897,2591
2091,239,2531
2092,518,2040
2093,157,2345
2094,662,2690
2095,272,2972
2096,971,2102
2097,132,2049
2098,100,2432
2099,921,2245
2100,742,2856
2101,854,2735
2102,682,2576
2103,56,2094
2104,106,2426
2105,591,2464
2106,587,2812
2107,435,2753
2108,625,2255
2109,39,2984
2110,927,2350
2111,182,2603
2112,220,2095
2113,320,2218
2114,473,2792
2115,254,2813
2116,548,2654
2117,242,2290
2118,110,2131
2119,37,2008
2120,334,2389
2121,696,2764
2122,487,2717
2123,492,2198
2124,550,2827
2125,90,2799
2126,232,2124
2127,795,2573
2128,519,2644
2129,496,2871
2130,256,2759
2131,218,2819
2132,802,2642
2133,644,2471
2134,171,2033
2135,93,2430
2136,458,2946
2137,402,2343
2138,620,2422
2139,260,2194
2140,475,2410
2141,41,2802
2142,307,2376
2143,488,2804
2144,751,2612
2145,427,2085
2146,324,2048
2147,533,2865
2148,379,2075
2149,989,2508
2150,65,2274
2151,629,2433
2152,236,2381
2153,327,2013
2154,489,2362
2155,828,2135
2156,791,2311
2157,826,2873
2158,438,2522
2159,349,2726
2160,710,2879
2161,745,2107
2162,125,2752
2163,832,2868
2164,726,2556
2165,813,2740
2166,893,2588
2167,250,2742
2168,428,2260
2169,595,2640
2170,316,2080
2171,87,2534
2172,631,2050
2173,116,2880
2174,44,2668
2175,177,2697
2176,362,2651
2177,958,2225
2178,514,2529
2179,228,2402
2180,541,2082
2181,964,2992
2182,245,2818
2183,391,2600
2184,890,2174
2185,566,2396
2186,142,2466
2187,399,2590
2188,781,2055
2189,674,2489
2190,918,2371
2191,299,2212
2192,575,2360
2193,703,2847
2194,670,2453
2195,176,2091
2196,996,2614
2197,739,2445
2198,605,2009
2199,80,2336
2200,920,2359
2201,348,2838
2202,186,2305
2203,258,2444
2204,637,2718
2205,706,2196
2206,850,2940
2207,873,2741
2208,915,2544
2209,296,2926
2210,285,2782
2211,606,2266
2212,829,2560
2213,83,2678
2214,162,2136
2215,501,2046
2216,18,2791
2217,388,2891
2218,869,2374
2219,737,2303
2220,697,2391
2221,647,2431
2222,925,2663
2223,68,2929
2224,344,2186
2225,649,2292
2226,111,2909
2227,465,2069
2228,754,2300
2229,861,2463
2230,532,2773
2231,429,2500
2232,339,2438
2233,136,2259
2234,426,2439
2235,887,2361
2236,624,2273
2237,817,2252
2238,905,2307
2239,153,2889
2240,865,2754
2241,709,2546
2242,62,2179
2243,230,2309
2244,962,2845
2245,354,2363
2246,978,2858
2247,507,2220
2248,916,2513
2249,454,2551
2250,390,2153
2251,238,2108
2252,130,2331
2253,775,2217
2254,94,2081
2255,378,2332
2256,509,2295
2257,352,2633
2258,570,2532
2259,255,2694
2260,197,2053
2261,613,2933
2262,123,2347
2263,459,2671
2264,724,2733
2265,7,2394
2266,495,2731
2267,965,2635
2268,827,2473
2269,51,2171
2270,770,2293
2271,433,2840
2272,563,2139
2273,621,2647
2274,949,2353
2275,658,2589
2276,761,2695
2277,211,2776
2278,275,2181
2279,34,2592
2280,933,2346
2281,830,2106
2282,40,2738
2283,879,2484
2284,985,2665
2285,394,2167
2286,410,2429
2287,210,2319
2288,190,2203
2289,43,2613
2290,437,2571
2291,342,2912
2292,627,2205
2293,727,2456
2294,954,2342
2295,99,2367
2296,365,2206
2297,903,2314
2298,346,2843
2299,419,2322
2300,356,2867
2301,610,2151
2302,46,2811
2303,421,2482
2304,383,2185
2305,191,2097
2306,773,2825
2307,19,2955
2308,149,2712
2309,497,2446
2310,412,2042
2311,315,2123
2312,908,2625
2313,970,2649
2314,526,2860
2315,843,2365
2316,960,2020
2317,676,2542
2318,975,2730
2319,882,2335
2320,571,2643
2321,300,2872
2322,91,2316
2323,332,2355
