CountryID,Name,Population,AverageSalary
1,China,5513155,1300.98
2,Philippines,6282299,1880.95
3,Argentina,4472623,1682.64
4,Haiti,2843613,1153.62
5,Myanmar,5364846,876.31
6,Canada,5644957,807.6
7,China,6507196,1746.52
8,United States,3485636,1044.72
9,France,9519917,1581.42
10,Albania,2692821,1119.14
11,Vietnam,7987990,1565.54
12,China,4132932,974.77
13,Canada,6958102,878.68
14,United States,5639910,1218.41
15,Luxembourg,2014523,861.44
16,Belarus,6104154,1451.74
17,United States,3825188,1551.2
18,Indonesia,7774363,1646.9
19,Spain,7145896,813.05
20,China,7069732,871.92
21,Bolivia,9962351,1290.66
22,Chile,8516922,1473.68
23,Brazil,9729283,1356.32
24,China,7713660,1398.19
25,China,7500373,1217.08
26,Ukraine,7535610,943.27
27,Saudi Arabia,2803442,1659.4
28,Indonesia,8171380,1291.59
29,Portugal,2811898,1122.39
30,Russia,3629294,1230.78
31,South Africa,1837454,1552.8
32,Latvia,9919094,816.17
33,France,3376164,824.78
34,Sweden,1963468,1304.67
35,China,8130007,894.46
36,China,9885245,978.77
37,China,1900433,1375.93
38,China,2826249,1056.75
39,China,5790563,1293.57
40,Sweden,9483563,1686.89
41,Mexico,9460305,1133.87
42,Indonesia,2680728,1892.89
43,Brazil,1167338,1804.78
44,Brazil,7082592,1450.0
45,Poland,7232236,1193.41
46,South Africa,5200715,810.27
47,Ireland,7037901,1690.59
48,Indonesia,9618268,1311.02
49,Ukraine,6528030,1354.41
50,Brazil,9803086,1085.13
51,Luxembourg,1908460,1745.28
52,United States,8495517,1057.22
53,Nigeria,7066648,966.97
54,Indonesia,7456691,1879.68
55,Philippines,9751179,1463.48
56,Azerbaijan,9170507,1401.05
57,France,5858106,1245.0
58,Japan,7693878,1831.92
59,China,8644719,1501.18
60,Argentina,8279102,904.06
61,Albania,3624195,1467.22
62,Colombia,4778511,1810.47
63,Comoros,8823705,1895.82
64,Venezuela,7487778,1223.54
65,China,2900356,1702.23
66,France,2723750,1505.75
67,Colombia,2498032,1246.44
68,Estonia,3625038,881.32
69,China,7361160,1047.91
70,Peru,4173103,825.38
71,Brazil,9857115,1598.07
72,China,1631264,1494.29
73,China,9145138,1621.88
74,Poland,4679143,1735.71
75,Egypt,5626899,1608.45
76,Philippines,3970339,1390.44
77,Argentina,3457895,1523.02
78,Paraguay,1519331,1000.67
79,Greece,3750396,1420.45
80,Canada,1689582,1689.55
81,Russia,1137062,1426.57
82,Portugal,1780268,1249.71
83,Russia,6519582,1838.25
84,Sweden,4992265,1158.76
85,Philippines,7000203,1427.42
86,Croatia,7952364,1518.79
87,China,4147336,1249.35
88,China,5487568,1851.28
89,Russia,2936619,1461.86
90,Philippines,7289405,1796.37
91,Philippines,5151307,959.12
92,Indonesia,8416809,1637.14
93,Indonesia,2655806,1020.28
94,China,7953534,1049.09
95,China,2162337,1660.48
96,Czech Republic,3085265,946.76
97,Azerbaijan,2037850,1620.64
98,Indonesia,1822103,1531.6
99,China,1435804,1206.06
100,Portugal,7958527,1657.04
101,Brazil,7972067,1350.36
102,Philippines,6340284,1688.62
103,Azerbaijan,8090346,814.21
104,South Korea,6423937,1624.5
105,Philippines,7939831,1251.07
106,China,7547496,1273.22
107,Afghanistan,7301703,1604.78
108,Albania,7726975,845.61
109,United States,7396815,1534.5
110,China,1041701,1010.04
111,Indonesia,2569363,1759.06
112,France,9526633,1654.46
113,Estonia,5541723,1207.92
114,China,7019819,1269.12
115,Ukraine,1755335,1794.59
116,Azerbaijan,5133144,1835.16
117,Indonesia,5875643,911.63
118,Benin,3433270,1324.82
119,China,9214555,1721.67
