FitnessCenterID,Name,WorkingHours
1,Jetpulse,8:00 AM - 4:00 PM
2,Trudeo,10:00 AM - 6:00 PM
3,Realmix,10:00 AM - 6:00 PM
4,Aimbu,9:30 AM - 5:30 PM
5,Twimbo,8:30 AM - 4:30 PM
6,Dynazzy,10:00 AM - 6:00 PM
7,Innotype,8:00 AM - 4:00 PM
8,Thoughtstorm,9:30 AM - 5:30 PM
9,Yoveo,7:00 AM - 3:00 PM
10,Quire,8:00 AM - 4:00 PM
11,Shuffledrive,9:00 AM - 5:00 PM
12,Twitterlist,10:00 AM - 6:00 PM
13,Jabbertype,8:30 AM - 4:30 PM
14,Abatz,10:00 AM - 6:00 PM
15,Dablist,8:30 AM - 4:30 PM
16,Gabcube,8:00 AM - 4:00 PM
17,Skinte,9:00 AM - 5:00 PM
18,Twitterwire,7:00 AM - 3:00 PM
19,Omba,9:30 AM - 5:30 PM
20,Eadel,10:00 AM - 6:00 PM
21,Mynte,8:00 AM - 4:00 PM
22,Dabfeed,9:00 AM - 5:00 PM
23,Dabshots,10:00 AM - 6:00 PM
24,Twitterbeat,9:00 AM - 5:00 PM
25,Babbleset,11:00 AM - 7:00 PM
26,Talane,7:00 AM - 3:00 PM
27,Talane,9:30 AM - 5:30 PM
28,Divanoodle,9:00 AM - 5:00 PM
29,Thoughtstorm,10:00 AM - 6:00 PM
30,Zoozzy,7:00 AM - 3:00 PM
31,Yakitri,9:30 AM - 5:30 PM
32,Photospace,11:00 AM - 7:00 PM
33,Geba,9:30 AM - 5:30 PM
34,Wikivu,11:00 AM - 7:00 PM
35,Feedfish,8:30 AM - 4:30 PM
36,Browsedrive,9:00 AM - 5:00 PM
37,Thoughtstorm,11:00 AM - 7:00 PM
38,Thoughtbeat,11:00 AM - 7:00 PM
39,Brainbox,7:00 AM - 3:00 PM
40,Buzzshare,10:00 AM - 6:00 PM
41,Realcube,11:00 AM - 7:00 PM
42,Flipbug,10:00 AM - 6:00 PM
43,Agivu,10:00 AM - 6:00 PM
44,Vidoo,7:00 AM - 3:00 PM
45,Eire,8:00 AM - 4:00 PM
46,Einti,11:00 AM - 7:00 PM
47,Riffwire,9:30 AM - 5:30 PM
48,Skinte,9:30 AM - 5:30 PM
49,Topdrive,8:00 AM - 4:00 PM
50,Edgepulse,11:00 AM - 7:00 PM
51,Demizz,9:30 AM - 5:30 PM
52,Wordware,9:00 AM - 5:00 PM
53,Jaxworks,8:00 AM - 4:00 PM
54,Tambee,7:00 AM - 3:00 PM
55,Oyoyo,8:30 AM - 4:30 PM
56,Jetpulse,7:00 AM - 3:00 PM
57,Edgeclub,10:00 AM - 6:00 PM
58,Flashpoint,11:00 AM - 7:00 PM
59,Skippad,10:00 AM - 6:00 PM
60,Aivee,11:00 AM - 7:00 PM
61,Katz,9:00 AM - 5:00 PM
62,Jamia,9:30 AM - 5:30 PM
63,Voolith,10:00 AM - 6:00 PM
64,Brightbean,8:00 AM - 4:00 PM
65,Jaxbean,9:30 AM - 5:30 PM
